Open,High,Low,Close,Volume,date
215.0,217.0,210.0,210.0,1234500,2022-03-16
212.0,215.0,210.0,213.0,716700,2022-03-15
213.0,215.0,211.0,212.0,688900,2022-03-14
219.0,219.0,212.0,213.0,802400,2022-03-11
219.0,223.0,217.0,222.0,867900,2022-03-10
212.0,218.0,210.0,210.0,1005400,2022-03-09
210.0,220.0,209.0,212.0,1587800,2022-03-08
221.0,221.0,211.0,217.0,1210800,2022-03-07
223.0,224.0,219.0,223.0,975000,2022-03-04
233.0,235.0,226.0,226.0,784700,2022-03-03
228.0,231.0,223.0,230.0,889900,2022-03-02
225.0,236.0,221.0,234.0,1020400,2022-03-01
218.0,223.0,215.0,223.0,793000,2022-02-28
213.0,224.0,210.0,221.0,1506800,2022-02-25
216.0,217.0,208.0,212.0,1600000,2022-02-24
217.0,221.0,216.0,218.0,782100,2022-02-22
221.0,221.0,216.0,221.0,807900,2022-02-21
216.0,225.0,215.0,223.0,1064500,2022-02-18
228.0,229.0,219.0,220.0,1378400,2022-02-17
232.0,236.0,227.0,230.0,1073800,2022-02-16
231.0,237.0,226.0,229.0,1680200,2022-02-15
236.0,238.0,230.0,232.0,1286900,2022-02-14
233.0,243.0,233.0,242.0,1434600,2022-02-10
224.0,231.0,222.0,228.0,899200,2022-02-09
218.0,226.0,216.0,221.0,1042300,2022-02-08
218.0,220.0,213.0,218.0,1674900,2022-02-07
225.0,228.0,221.0,225.0,1297600,2022-02-04
232.0,234.0,228.0,229.0,880000,2022-02-03
230.0,237.0,230.0,235.0,1320800,2022-02-02
228.0,237.0,227.0,232.0,1965600,2022-02-01
220.0,225.0,219.0,221.0,1556500,2022-01-31
223.0,226.0,217.0,220.0,1758000,2022-01-28
231.0,235.0,221.0,221.0,1547800,2022-01-27
233.0,238.0,229.0,235.0,1872300,2022-01-26
242.0,246.0,235.0,240.0,1280100,2022-01-25
246.0,248.0,241.0,248.0,1358900,2022-01-24
253.0,257.0,248.0,254.0,1377000,2022-01-21
250.0,263.0,249.0,259.0,1239800,2022-01-20
259.0,261.0,250.0,251.0,1168700,2022-01-19
270.0,275.0,265.0,265.0,1462000,2022-01-18
286.0,288.0,265.0,272.0,2500600,2022-01-17
300.0,300.0,288.0,290.0,1694800,2022-01-14
308.0,310.0,302.0,304.0,427300,2022-01-13
306.0,313.0,305.0,307.0,592300,2022-01-12
311.0,313.0,304.0,305.0,853800,2022-01-11
316.0,320.0,307.0,313.0,717800,2022-01-07
316.0,320.0,313.0,318.0,579600,2022-01-06
328.0,330.0,320.0,321.0,588400,2022-01-05
336.0,338.0,327.0,327.0,432200,2022-01-04
333.0,336.0,330.0,335.0,356000,2021-12-30
330.0,338.0,330.0,335.0,423400,2021-12-29
324.0,330.0,324.0,329.0,536400,2021-12-28
334.0,334.0,323.0,324.0,594700,2021-12-27
339.0,340.0,335.0,337.0,286500,2021-12-24
345.0,347.0,338.0,339.0,287500,2021-12-23
340.0,345.0,338.0,342.0,404800,2021-12-22
337.0,345.0,336.0,340.0,486800,2021-12-21
345.0,345.0,333.0,336.0,735700,2021-12-20
352.0,353.0,346.0,350.0,541000,2021-12-17
358.0,360.0,353.0,355.0,286600,2021-12-16
353.0,359.0,352.0,356.0,377100,2021-12-15
358.0,361.0,353.0,356.0,267800,2021-12-14
362.0,366.0,357.0,358.0,249300,2021-12-13
367.0,367.0,359.0,359.0,371300,2021-12-10
367.0,370.0,363.0,365.0,383800,2021-12-09
373.0,374.0,366.0,367.0,444000,2021-12-08
357.0,365.0,355.0,365.0,429600,2021-12-07
353.0,361.0,353.0,355.0,457000,2021-12-06
343.0,357.0,342.0,356.0,566800,2021-12-03
344.0,352.0,343.0,344.0,686200,2021-12-02
355.0,356.0,345.0,352.0,578500,2021-12-01
364.0,373.0,355.0,356.0,645400,2021-11-30
356.0,374.0,356.0,362.0,821500,2021-11-29
378.0,379.0,370.0,372.0,674100,2021-11-26
386.0,389.0,380.0,380.0,406700,2021-11-25
393.0,395.0,384.0,387.0,501800,2021-11-24
399.0,401.0,395.0,395.0,253400,2021-11-22
403.0,403.0,399.0,401.0,213600,2021-11-19
401.0,404.0,393.0,401.0,696300,2021-11-18
411.0,413.0,400.0,401.0,582500,2021-11-17
412.0,414.0,408.0,412.0,414700,2021-11-16
421.0,428.0,413.0,413.0,381200,2021-11-15
416.0,425.0,416.0,417.0,247100,2021-11-12
415.0,418.0,413.0,416.0,231600,2021-11-11
416.0,424.0,415.0,418.0,390200,2021-11-10
415.0,420.0,411.0,415.0,396100,2021-11-09
426.0,427.0,416.0,417.0,475600,2021-11-08
430.0,434.0,424.0,425.0,339100,2021-11-05
430.0,433.0,427.0,430.0,562900,2021-11-04
423.0,428.0,421.0,421.0,369100,2021-11-02
417.0,423.0,416.0,423.0,427000,2021-11-01
416.0,417.0,411.0,414.0,587800,2021-10-29
416.0,423.0,413.0,417.0,429700,2021-10-28
422.0,423.0,413.0,416.0,675900,2021-10-27
424.0,430.0,423.0,424.0,547900,2021-10-26
426.0,427.0,422.0,423.0,490900,2021-10-25
440.0,444.0,430.0,430.0,749700,2021-10-22
445.0,452.0,440.0,444.0,863800,2021-10-21
470.0,473.0,445.0,445.0,1493400,2021-10-20
466.0,480.0,456.0,473.0,1497100,2021-10-19
455.0,464.0,435.0,464.0,2110700,2021-10-18
421.0,431.0,419.0,431.0,601500,2021-10-15
416.0,424.0,415.0,419.0,1041200,2021-10-14
426.0,428.0,413.0,415.0,729700,2021-10-13
439.0,439.0,430.0,431.0,612900,2021-10-12
442.0,444.0,438.0,441.0,301300,2021-10-11
439.0,444.0,436.0,442.0,418100,2021-10-08
446.0,448.0,434.0,434.0,560300,2021-10-07
446.0,458.0,443.0,446.0,552900,2021-10-06
448.0,450.0,441.0,444.0,825000,2021-10-05
463.0,466.0,452.0,453.0,804700,2021-10-04
468.0,473.0,461.0,463.0,639000,2021-10-01
466.0,472.0,462.0,468.0,691900,2021-09-30
472.0,472.0,462.0,466.0,1067700,2021-09-29
477.0,478.0,472.0,475.0,486200,2021-09-28
478.0,480.0,474.0,479.0,431100,2021-09-27
480.0,482.0,477.0,480.0,378400,2021-09-24
482.0,484.0,472.0,473.0,551100,2021-09-22
480.0,490.0,475.0,486.0,444000,2021-09-21
485.0,490.0,481.0,488.0,694000,2021-09-17
496.0,496.0,474.0,480.0,1223100,2021-09-16
508.0,509.0,491.0,496.0,933700,2021-09-15
511.0,514.0,508.0,514.0,344700,2021-09-14
505.0,511.0,504.0,509.0,438900,2021-09-13
501.0,508.0,501.0,508.0,449300,2021-09-10
498.0,503.0,497.0,502.0,484300,2021-09-09
501.0,503.0,495.0,502.0,664100,2021-09-08
509.0,510.0,503.0,504.0,422100,2021-09-07
500.0,502.0,493.0,501.0,788500,2021-09-06
497.0,502.0,496.0,497.0,723400,2021-09-03
504.0,506.0,497.0,503.0,461400,2021-09-02
500.0,509.0,489.0,504.0,998900,2021-09-01
511.0,516.0,509.0,513.0,475100,2021-08-31
506.0,515.0,506.0,512.0,335000,2021-08-30
516.69,518.68,508.71,511.7,216749,2021-08-27
519.68,523.67,516.69,518.68,207927,2021-08-26
523.67,527.66,519.68,520.68,219256,2021-08-25
518.68,524.67,516.69,520.68,285022,2021-08-24
505.72,517.68,504.72,515.69,337054,2021-08-23
504.72,513.69,503.72,505.72,266676,2021-08-20
501.73,510.7,496.74,502.72,321114,2021-08-19
497.74,514.69,495.74,511.7,402320,2021-08-18
515.69,515.69,494.74,495.74,613655,2021-08-17
533.64,533.64,515.69,517.68,570546,2021-08-16
535.64,544.62,535.64,542.62,390289,2021-08-13
551.6,552.6,532.65,535.64,471294,2021-08-12
556.59,558.58,547.61,547.61,519717,2021-08-11
556.59,567.56,545.61,566.56,440015,2021-08-10
565.56,571.55,553.59,556.59,390790,2021-08-06
558.58,574.54,558.58,565.56,654158,2021-08-05
553.59,568.56,546.61,560.58,739374,2021-08-04
544.62,567.56,544.62,556.59,928653,2021-08-03
543.62,547.61,536.64,538.63,334548,2021-08-02
527.66,543.62,527.66,538.63,552500,2021-07-30
540.63,546.61,528.66,528.66,496157,2021-07-29
557.58,564.57,537.63,539.63,882035,2021-07-28
554.59,555.59,538.63,553.59,719323,2021-07-27
550.6,578.53,546.61,548.61,1540203,2021-07-26
558.58,569.55,532.65,538.63,2634777,2021-07-21
527.66,560.58,525.66,549.6,3062862,2021-07-20
568.56,581.52,521.67,527.66,4177486,2021-07-19
490.75,544.62,489.76,538.63,4409073,2021-07-16
478.78,482.77,475.79,482.77,809551,2021-07-15
475.79,481.78,475.79,478.78,513000,2021-07-14
474.79,480.78,473.8,478.78,409438,2021-07-13
470.8,476.79,469.81,476.79,306477,2021-07-12
464.82,474.79,463.82,471.8,535056,2021-07-09
467.81,474.79,464.82,468.81,346679,2021-07-08
480.78,483.77,466.81,467.81,779074,2021-07-07
495.74,499.73,483.77,483.77,471996,2021-07-06
493.75,501.73,492.75,495.74,238003,2021-07-05
493.75,499.73,491.75,494.74,234895,2021-07-02
492.75,493.75,489.76,492.75,128125,2021-07-01
496.74,497.74,492.75,492.75,170632,2021-06-30
499.73,499.73,494.74,495.74,151985,2021-06-29
496.74,499.73,494.74,497.74,183966,2021-06-28
496.74,500.73,493.75,495.74,239507,2021-06-25
491.75,495.74,489.76,492.75,126320,2021-06-24
497.74,500.73,490.75,491.75,230584,2021-06-23
484.77,499.73,484.77,498.73,516008,2021-06-22
473.8,483.77,470.8,480.78,517812,2021-06-21
492.75,493.75,483.77,483.77,251036,2021-06-18
488.76,489.76,486.76,489.76,205721,2021-06-17
493.75,495.74,485.77,488.76,257954,2021-06-16
489.76,497.74,487.76,495.74,342267,2021-06-15
475.79,483.77,475.79,483.77,226775,2021-06-14
479.78,480.78,473.8,473.8,359511,2021-06-11
475.79,484.77,473.8,483.77,348684,2021-06-10
476.79,477.79,473.8,473.8,273994,2021-06-09
475.79,477.79,472.8,475.79,217451,2021-06-08
473.8,475.79,469.81,473.8,209130,2021-06-07
475.79,475.79,467.81,467.81,525331,2021-06-04
475.79,481.78,475.79,476.79,285323,2021-06-03
473.8,477.79,472.8,474.79,292541,2021-06-02
474.79,477.79,469.81,476.79,275799,2021-06-01
483.77,484.77,473.8,474.79,361115,2021-05-31
483.77,484.77,480.78,483.77,364323,2021-05-28
489.76,490.75,483.77,483.77,327229,2021-05-27
492.75,493.75,489.76,492.75,267879,2021-05-26
494.74,497.74,487.76,492.75,343972,2021-05-25
497.74,499.73,493.75,493.75,259959,2021-05-24
499.73,500.73,493.75,497.74,319008,2021-05-21
503.72,506.71,499.73,499.73,360514,2021-05-20
488.76,504.72,486.76,500.73,581474,2021-05-19
478.78,486.76,474.79,485.77,258756,2021-05-18
485.77,488.76,474.79,476.79,295148,2021-05-17
480.78,483.77,475.79,480.78,292942,2021-05-14
470.8,478.78,463.82,472.8,438010,2021-05-13
478.78,483.77,472.8,478.78,378459,2021-05-12
492.75,492.75,475.79,478.78,636613,2021-05-11
494.74,494.74,483.77,490.75,543577,2021-05-10
492.75,500.73,491.75,494.74,539668,2021-05-07
499.73,506.71,496.74,496.74,638418,2021-05-06
513.69,515.69,507.71,508.71,386780,2021-04-30
514.69,515.69,510.7,512.7,295449,2021-04-28
515.69,519.68,512.7,515.69,438912,2021-04-27
507.71,516.69,502.72,512.7,334648,2021-04-26
503.72,515.69,503.72,508.71,292642,2021-04-23
517.68,519.68,507.71,509.71,447935,2021-04-22
514.69,517.68,506.71,507.71,392896,2021-04-21
531.65,532.65,517.68,518.68,537362,2021-04-20
545.61,546.61,526.66,528.66,816569,2021-04-19
546.61,546.61,531.65,540.63,969657,2021-04-16
548.61,557.58,527.66,546.61,2642597,2021-04-15
663.31,663.31,627.41,627.41,644233,2021-04-14
659.32,667.3,659.32,666.31,279107,2021-04-13
673.29,673.29,659.32,659.32,280611,2021-04-12
661.32,676.28,659.32,668.3,399312,2021-04-09
651.35,661.32,647.36,658.33,200809,2021-04-08
648.35,663.31,645.36,661.32,240309,2021-04-07
663.31,666.31,649.35,650.35,240910,2021-04-06
675.28,675.28,653.34,656.33,468287,2021-04-05
674.29,682.27,671.29,672.29,600321,2021-04-02
653.34,675.28,649.35,671.29,822083,2021-04-01
