Open,High,Low,Close,Volume,date
3110.0,3137.0,3088.0,3117.0,2511300,2022-03-16
3109.0,3131.0,3085.0,3094.0,2123000,2022-03-15
3110.0,3138.0,3078.0,3106.0,1443600,2022-03-14
3127.0,3133.0,3060.0,3075.0,1945400,2022-03-11
3106.0,3183.0,3086.0,3177.0,1749800,2022-03-10
3050.0,3093.0,3037.0,3042.0,1318100,2022-03-09
3072.0,3108.0,3051.0,3057.0,1574000,2022-03-08
3097.0,3121.0,3068.0,3104.0,1321200,2022-03-07
3210.0,3211.0,3126.0,3144.0,1334900,2022-03-04
3200.0,3244.0,3190.0,3219.0,1024900,2022-03-03
3233.0,3240.0,3179.0,3179.0,1483900,2022-03-02
3308.0,3332.0,3281.0,3291.0,1156300,2022-03-01
3208.0,3279.0,3208.0,3269.0,1502600,2022-02-28
3274.0,3285.0,3207.0,3224.0,1539000,2022-02-25
3239.0,3288.0,3236.0,3265.0,1675500,2022-02-24
3301.0,3311.0,3267.0,3282.0,1289400,2022-02-22
3344.0,3361.0,3317.0,3352.0,762500,2022-02-21
3305.0,3368.0,3305.0,3366.0,1174500,2022-02-18
3360.0,3374.0,3323.0,3336.0,1725300,2022-02-17
3405.0,3430.0,3393.0,3418.0,1035500,2022-02-16
3400.0,3453.0,3388.0,3391.0,1365100,2022-02-15
3455.0,3467.0,3387.0,3421.0,1795700,2022-02-14
3420.0,3440.0,3380.0,3421.0,1736400,2022-02-10
3410.0,3410.0,3350.0,3370.0,1450700,2022-02-09
3412.0,3435.0,3399.0,3411.0,1315200,2022-02-08
3362.0,3407.0,3350.0,3389.0,1170600,2022-02-07
3391.0,3392.0,3354.0,3376.0,933400,2022-02-04
3368.0,3393.0,3359.0,3393.0,810100,2022-02-03
3302.0,3371.0,3300.0,3363.0,1189300,2022-02-02
3311.0,3317.0,3268.0,3289.0,1090400,2022-02-01
3325.0,3347.0,3286.0,3335.0,1281000,2022-01-31
3329.0,3340.0,3291.0,3319.0,1490900,2022-01-28
3394.0,3415.0,3266.0,3272.0,1530000,2022-01-27
3404.0,3413.0,3359.0,3363.0,1050300,2022-01-26
3387.0,3388.0,3348.0,3388.0,1267600,2022-01-25
3315.0,3397.0,3312.0,3395.0,1319200,2022-01-24
3299.0,3326.0,3267.0,3321.0,921600,2022-01-21
3280.0,3339.0,3272.0,3319.0,1787500,2022-01-20
3338.0,3368.0,3254.0,3275.0,1616300,2022-01-19
3420.0,3437.0,3386.0,3388.0,849800,2022-01-18
3410.0,3464.0,3410.0,3425.0,1176600,2022-01-17
3402.0,3423.0,3342.0,3373.0,1867300,2022-01-14
3464.0,3477.0,3434.0,3453.0,1647900,2022-01-13
3386.0,3439.0,3378.0,3433.0,1774000,2022-01-12
3384.0,3391.0,3307.0,3345.0,1485300,2022-01-11
3385.0,3397.0,3332.0,3364.0,1424600,2022-01-07
3400.0,3423.0,3341.0,3346.0,1301300,2022-01-06
3370.0,3390.0,3352.0,3383.0,1146100,2022-01-05
3329.0,3343.0,3283.0,3339.0,1086600,2022-01-04
3301.0,3329.0,3290.0,3308.0,937500,2021-12-30
3306.0,3330.0,3305.0,3322.0,826600,2021-12-29
3297.0,3320.0,3280.0,3318.0,819600,2021-12-28
3294.0,3294.0,3265.0,3266.0,969500,2021-12-27
3294.0,3295.0,3263.0,3284.0,608500,2021-12-24
3295.0,3311.0,3280.0,3311.0,849200,2021-12-23
3294.0,3309.0,3261.0,3275.0,949700,2021-12-22
3285.0,3317.0,3279.0,3298.0,921500,2021-12-21
3293.0,3311.0,3238.0,3238.0,1303100,2021-12-20
3330.0,3373.0,3303.0,3315.0,2109100,2021-12-17
3315.0,3349.0,3300.0,3347.0,1188700,2021-12-16
3280.0,3313.0,3278.0,3283.0,1134000,2021-12-15
3303.0,3329.0,3271.0,3278.0,1171400,2021-12-14
3367.0,3374.0,3324.0,3324.0,1139400,2021-12-13
3339.0,3386.0,3331.0,3333.0,1646800,2021-12-10
3370.0,3384.0,3337.0,3344.0,1362000,2021-12-09
3419.0,3420.0,3361.0,3372.0,1785700,2021-12-08
3381.0,3437.0,3364.0,3420.0,1768700,2021-12-07
3349.0,3378.0,3322.0,3357.0,1209500,2021-12-06
3331.0,3357.0,3292.0,3348.0,1834800,2021-12-03
3280.0,3321.0,3271.0,3299.0,1800500,2021-12-02
3300.0,3354.0,3300.0,3322.0,1391000,2021-12-01
3349.0,3398.0,3307.0,3316.0,5141600,2021-11-30
3314.0,3356.0,3292.0,3300.0,1495200,2021-11-29
3403.0,3419.0,3358.0,3381.0,1370100,2021-11-26
3443.0,3447.0,3414.0,3428.0,1130500,2021-11-25
3443.0,3467.0,3381.0,3389.0,1326600,2021-11-24
3400.0,3455.0,3390.0,3451.0,1221000,2021-11-22
3359.0,3432.0,3353.0,3408.0,1657900,2021-11-19
3388.0,3469.0,3381.0,3421.0,1848200,2021-11-18
3509.0,3518.0,3433.0,3434.0,1413600,2021-11-17
