Open,High,Low,Close,Volume,date
2932.0,2966.0,2878.0,2962.0,1268400,2022-03-16
2779.0,2856.0,2776.0,2832.0,635400,2022-03-15
2743.0,2812.0,2730.0,2786.0,882300,2022-03-14
2781.0,2815.0,2709.0,2743.0,1284900,2022-03-11
2890.0,2906.0,2827.0,2854.0,1056000,2022-03-10
2800.0,2862.0,2777.0,2790.0,1308400,2022-03-09
2758.0,2854.0,2753.0,2777.0,1323000,2022-03-08
2883.0,2887.0,2776.0,2802.0,853900,2022-03-07
2994.0,3010.0,2915.0,2955.0,1197900,2022-03-04
3060.0,3095.0,3020.0,3025.0,835300,2022-03-03
3100.0,3110.0,3040.0,3060.0,602200,2022-03-02
3230.0,3230.0,3145.0,3160.0,662900,2022-03-01
3145.0,3170.0,3085.0,3160.0,656100,2022-02-28
3045.0,3125.0,3025.0,3115.0,680900,2022-02-25
3060.0,3085.0,3020.0,3055.0,1036200,2022-02-24
3085.0,3140.0,3075.0,3100.0,867300,2022-02-22
3140.0,3160.0,3045.0,3155.0,1142300,2022-02-21
3255.0,3270.0,3145.0,3265.0,1274300,2022-02-18
3380.0,3420.0,3290.0,3315.0,882700,2022-02-17
3410.0,3420.0,3330.0,3355.0,853600,2022-02-16
3335.0,3360.0,3245.0,3295.0,979600,2022-02-15
3385.0,3415.0,3325.0,3345.0,1707500,2022-02-14
3645.0,3660.0,3590.0,3640.0,868600,2022-02-10
3555.0,3590.0,3510.0,3560.0,538000,2022-02-09
3550.0,3610.0,3540.0,3550.0,631600,2022-02-08
3535.0,3535.0,3445.0,3505.0,525800,2022-02-07
3520.0,3560.0,3480.0,3550.0,557900,2022-02-04
3550.0,3550.0,3500.0,3535.0,435800,2022-02-03
3550.0,3605.0,3535.0,3590.0,531500,2022-02-02
3685.0,3685.0,3565.0,3575.0,714500,2022-02-01
3575.0,3605.0,3500.0,3545.0,960700,2022-01-31
3485.0,3580.0,3485.0,3580.0,839700,2022-01-28
3490.0,3565.0,3420.0,3445.0,1132200,2022-01-27
3435.0,3470.0,3380.0,3445.0,727200,2022-01-26
3535.0,3540.0,3395.0,3425.0,871500,2022-01-25
3540.0,3625.0,3515.0,3560.0,932200,2022-01-24
3555.0,3615.0,3510.0,3605.0,901000,2022-01-21
3630.0,3675.0,3575.0,3625.0,930900,2022-01-20
3640.0,3765.0,3630.0,3660.0,1231200,2022-01-19
3770.0,3805.0,3675.0,3710.0,1375300,2022-01-18
3740.0,3785.0,3710.0,3760.0,1450200,2022-01-17
3680.0,3680.0,3595.0,3660.0,1081000,2022-01-14
3690.0,3725.0,3685.0,3690.0,869500,2022-01-13
3720.0,3730.0,3685.0,3705.0,1619200,2022-01-12
3625.0,3700.0,3585.0,3650.0,1447000,2022-01-11
3665.0,3680.0,3535.0,3580.0,1338300,2022-01-07
3640.0,3740.0,3595.0,3605.0,2860000,2022-01-06
